water_body,easting,northing,year,status,cycle,classification_item
Semington Bk-Milebourne Str to conf R Avon (Brist),389111,161378,2015,2,Good,Chemical
Semington Bk-Milebourne Str to conf R Avon (Brist),389111,161378,2015,2,Moderate,Ecological
Semington Bk - source to conf Worton Str,399649,155161,2015,2,Good,Chemical
Semington Bk - source to conf Worton Str,399649,155161,2015,2,Moderate,Ecological
Semington Brook (Worton Str to Milebourne Str,395099,157598,2015,2,Moderate,Ecological
Semington Brook (Worton Str to Milebourne Str,395099,157598,2015,2,Good,Chemical
Sherston Avon,384017,184610,2015,2,Good,Chemical
Sherston Avon,384017,184610,2015,2,Good,Ecological
Shire Bourne,388125,190472,2015,2,Moderate,Ecological
Shire Bourne,388125,190472,2015,2,Good,Chemical
Siston Bk - source to conf R Avon (Brist),366840,172692,2015,2,Moderate,Ecological
Siston Bk - source to conf R Avon (Brist),366840,172692,2015,2,Fail,Chemical
Snails Bk - source to conf Kilmersdon Str,368276,152513,2015,2,Moderate,Ecological
Snails Bk - source to conf Kilmersdon Str,368276,152513,2015,2,Good,Chemical
Somer,365211,152984,2015,2,Good,Chemical
Somer,365211,152984,2015,2,Moderate,Ecological
Somerset Frome conf with Mells to conf B. Avo,379768,153831,2015,2,Good,Chemical
Somerset Frome conf with Mells to conf B. Avo,379768,153831,2015,2,Moderate,Ecological
South Bk - source to conf R Avon (Brist),388591,165892,2015,2,Good,Ecological
South Bk - source to conf R Avon (Brist),388591,165892,2015,2,Good,Chemical
St Catherines Bk - source to conf R Avon (Brist),377619,170640,2015,2,Good,Ecological
St Catherines Bk - source to conf R Avon (Brist),377619,170640,2015,2,Good,Chemical
Stoke Bk - source to conf Bradley Bk,361694,180238,2015,2,Moderate,Ecological
Stoke Bk - source to conf Bradley Bk,361694,180238,2015,2,Good,Chemical
Summerham Brook,395802,161032,2015,2,Good,Chemical
Summerham Brook,395802,161032,2015,2,Poor,Ecological
Sutton Benger Bk - source to conf R Avon (Brist),393316,178494,2015,2,Moderate,Ecological
Sutton Benger Bk - source to conf R Avon (Brist),393316,178494,2015,2,Good,Chemical
Tetbury Avon - source to conf unnamed trib,389280,193221,2015,2,Good,Ecological
Tetbury Avon - source to conf unnamed trib,389280,193221,2015,2,Good,Chemical
Tetbury Avon - unnamed trib to conf Sherston Avon,389967,191321,2015,2,Good,Ecological
Tetbury Avon - unnamed trib to conf Sherston Avon,389967,191321,2015,2,Good,Chemical
The Bourne - source to conf R Avon (Brist),398671,181272,2015,2,Good,Chemical
The Bourne - source to conf R Avon (Brist),398671,181272,2015,2,Moderate,Ecological
The Malago - source to conf R Avon (Brist New Cut),358425,170630,2015,2,Good,Chemical
The Malago - source to conf R Avon (Brist New Cut),358425,170630,2015,2,Moderate,Ecological
Tortworth Bk - source to conf R LIttle Avon,368989,191311,2015,2,Moderate,Ecological
Tortworth Bk - source to conf R LIttle Avon,368989,191311,2015,2,Good,Chemical
Tributary - source to conf Biss Bk,384527,152404,2015,2,Good,Chemical
Tributary - source to conf Biss Bk,384527,152404,2015,2,Poor,Ecological
Tributary - source to conf By Bk,383324,175788,2015,2,Good,Ecological
Tributary - source to conf By Bk,383324,175788,2015,2,Good,Chemical
Tributary - source to conf Sherston Avon,389798,185419,2015,2,Good,Ecological
Tributary - source to conf Sherston Avon,389798,185419,2015,2,Good,Chemical
Trym - source to conf R Avon (Brist),356310,178667,2015,2,Moderate,Ecological
Trym - source to conf R Avon (Brist),356310,178667,2015,2,Good,Chemical
Wellow Bk - Snails Bk to Bristol Avon,377384,161815,2015,2,Good,Chemical
Wellow Bk - Snails Bk to Bristol Avon,377384,161815,2015,2,Moderate,Ecological
Wellow Bk - source to conf Snails Bk,365508,154694,2015,2,Good,Chemical
Wellow Bk - source to conf Snails Bk,365508,154694,2015,2,Poor,Ecological
Whatley Bk - source to conf Mells R,371077,145382,2015,2,Moderate,Ecological
Whatley Bk - source to conf Mells R,371077,145382,2015,2,Good,Chemical
Willow Brook (Bristol Avon and North Somerset),397836,169142,2015,2,Moderate,Ecological
Willow Brook (Bristol Avon and North Somerset),397836,169142,2015,2,Good,Chemical
Winford Bk - source to conf R Chew,355902,163535,2015,2,Good,Chemical
Winford Bk - source to conf R Chew,355902,163535,2015,2,Poor,Ecological
Woodbridge Bk - source to conf Charlton Str,399110,185781,2015,2,Good,Chemical
Woodbridge Bk - source to conf Charlton Str,399110,185781,2015,2,Moderate,Ecological
Worton Str - source to conf Semington Bk,400628,157832,2015,2,Poor,Ecological
Worton Str - source to conf Semington Bk,400628,157832,2015,2,Good,Chemical
Yeo - source to conf Congresbury Yeo,348591,160883,2015,2,Good,Chemical
Yeo - source to conf Congresbury Yeo,348591,160883,2015,2,Poor,Ecological
